ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C61,Prostate,999296,Notavailable,305.8,299.2,8.2,61
C33-34,Lung,876067,Notavailable,268.1,262.5,7.39,33-34
C18-21,Colorectum,620703,Notavailable,189.9,185.1,-,18-21
C16,Stomach,418819,Notavailable,128.2,125.2,3.66,16
C67,Bladder,303234,Notavailable,92.8,89.3,3.01,67
C22,Liver,278431,Notavailable,85.2,84.1,2.31,22
C15,Oesophagus,219388,Notavailable,67.1,66.4,1.76,15
C25,Pancreas,165362,Notavailable,50.6,49.1,1.55,25
C82-86,Non-Hodgkinlymphoma,137914,Notavailable,42.2,41.1,1.28,82-86
C96,Non-Hodgkinlymphoma,137914,Notavailable,42.2,41.1,1.28,96
C64-65,Kidney,126671,Notavailable,38.8,38.1,1.1,64-65
C91-95,Leukaemia,107152,Notavailable,32.8,31.8,1.04,91-95
C43,Melanomaofskin,96755,Notavailable,29.6,28.6,0.95,43
C00-06,"Lip,oralcavity",89915,Notavailable,27.5,27.4,0.7,00-06
C32,Larynx,73905,Notavailable,22.6,22.5,0.57,32
C88+C90,Multiplemyeloma,58803,Notavailable,18,17.5,0.55,88-90
C70-72,"Brain,centralnervoussystem",53917,Notavailable,16.5,16.3,0.45,70-72
C73,Thyroid,30804,Notavailable,9.4,9.5,0.23,73
C12-13,Hypopharynx,30218,Notavailable,9.2,9.2,0.23,12-13
C09-10,Oropharynx,28477,Notavailable,8.7,8.8,0.2,09-10
C23,Gallbladder,25469,Notavailable,7.8,7.5,0.25,23
C11,Nasopharynx,21045,Notavailable,6.4,6.5,0.14,11
C60,Penis,17476,Notavailable,5.3,5.2,0.16,60
C45,Mesothelioma,15632,Notavailable,4.8,4.6,0.16,45
C07-08,Salivaryglands,12955,Notavailable,4,3.9,0.12,07-08
C81,Hodgkinlymphoma,9645,Notavailable,3,2.9,0.08,81
C62,Testis,4526,Notavailable,1.4,1.4,0.04,62
C46,Kaposisarcoma,3907,Notavailable,1.2,1.2,0.04,46
