ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,528299,Notavailable,65,65,1.43,33-34
C61,Prostate,410132,Notavailable,50.4,51,1.16,61
C18-21,Colorectum,394332,Notavailable,48.5,48.5,1.05,18-21
C22,Liver,297292,Notavailable,36.6,36.5,0.77,22
C16,Stomach,274106,Notavailable,33.7,33.7,0.73,16
C15,Oesophagus,183709,Notavailable,22.6,22.5,0.49,15
C67,Bladder,127261,Notavailable,15.6,15.7,0.35,67
C00-06,"Lip,oralcavity",124732,Notavailable,15.3,15.3,0.32,00-06
C64-65,Kidney,117445,Notavailable,14.4,14.4,0.31,64-65
C82-86,Non-Hodgkinlymphoma,109851,Notavailable,13.5,13.5,0.29,82-86
C96,Non-Hodgkinlymphoma,109851,Notavailable,13.5,13.5,0.29,96
C25,Pancreas,89922,Notavailable,11.1,11.1,0.24,25
C32,Larynx,79253,Notavailable,9.7,9.7,0.21,32
C91-95,Leukaemia,74888,Notavailable,9.2,9.2,0.2,91-95
C70-72,"Brain,centralnervoussystem",64349,Notavailable,7.9,7.9,0.17,70-72
C73,Thyroid,62036,Notavailable,7.6,7.6,0.16,73
C43,Melanomaofskin,59181,Notavailable,7.3,7.3,0.16,43
C11,Nasopharynx,51298,Notavailable,6.3,6.3,0.13,11
C09-10,Oropharynx,44470,Notavailable,5.5,5.4,0.12,09-10
C88+C90,Multiplemyeloma,35652,Notavailable,4.4,4.4,0.1,88-90
C12-13,Hypopharynx,35134,Notavailable,4.3,4.3,0.09,12-13
C62,Testis,15023,Notavailable,1.8,1.9,0.04,62
C60,Penis,14692,Notavailable,1.8,1.8,0.04,60
C23,Gallbladder,13559,Notavailable,1.7,1.7,0.04,23
C81,Hodgkinlymphoma,12828,Notavailable,1.6,1.6,0.03,81
C07-08,Salivaryglands,11557,Notavailable,1.4,1.4,0.03,07-08
C46,Kaposisarcoma,5814,Notavailable,0.71,0.72,0.01,46
C45,Mesothelioma,5227,Notavailable,0.64,0.65,0.01,45
