ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,1435943,[1410860.0-1461480.0],36.5,31.5,8.77,33-34
C61,Prostate,1414259,[1395310.0-1433460.0],36,30.7,9.27,61
C18-21,Colorectum,1065960,Notavailable,27.1,23.4,-,18-21
C16,Stomach,719523,[701358.0-738159.0],18.3,15.8,4.41,16
C22,Liver,632320,[614997.0-650130.0],16.1,14.1,3.16,22
C67,Bladder,440864,[426804.0-455387.0],11.2,9.5,3.36,67
C15,Oesophagus,418350,[404525.0-432647.0],10.6,9.3,2.26,15
C82-86,Non-Hodgkinlymphoma,304151,[297884.0-310550.0],7.7,6.9,1.66,82-86
C96,Non-Hodgkinlymphoma,304151,[297884.0-310550.0],7.7,6.9,1.66,96
C64-65,Kidney,271249,[260834.0-282080.0],6.9,6.1,1.45,64-65
C91-95,Leukaemia,269503,[258493.0-280982.0],6.9,6.3,1.37,91-95
C00-06,"Lip,oralcavity",264211,[251153.0-277948.0],6.7,6,1.11,00-06
C25,Pancreas,262865,[258050.0-267770.0],6.7,5.7,1.8,25
C43,Melanomaofskin,173844,[166404.0-181617.0],4.4,3.8,1.14,43
C70-72,"Brain,centralnervoussystem",168346,[159163.0-178059.0],4.3,3.9,0.7,70-72
C32,Larynx,160265,[150633.0-170513.0],4.1,3.6,0.8,32
C73,Thyroid,137287,[133975.0-140680.0],3.5,3.1,0.46,73
C88+C90,Multiplemyeloma,98613,[92308.5-105348.0],2.5,2.2,0.66,88-90
C11,Nasopharynx,96371,[89084.3-104254.0],2.5,2.2,0.31,11
C09-10,Oropharynx,79045,[72769.0-85862.3],2,1.8,0.33,09-10
C62,Testis,74458,[68176.1-81318.7],1.9,1.8,0.17,62
C12-13,Hypopharynx,70254,[63472.7-77759.9],1.8,1.6,0.33,12-13
C81,Hodgkinlymphoma,48981,[45849.2-52326.8],1.2,1.2,0.16,81
C23,Gallbladder,41062,[36641.2-46016.1],1,0.89,0.29,23
C60,Penis,36068,[30962.6-42015.2],0.92,0.8,0.21,60
C07-08,Salivaryglands,29694,[25880.5-34069.4],0.76,0.66,0.16,07-08
C46,Kaposisarcoma,23413,[17138.6-31984.4],0.6,0.54,0.08,46
C45,Mesothelioma,21560,[18413.0-25244.9],0.55,0.46,0.18,45
