ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,755288,Notavailable,188.4,186.6,4.69,50
C18-21,Colorectum,534813,Notavailable,133.4,122.8,-,18-21
C33-34,Lung,492759,Notavailable,122.9,117.1,3.32,33-34
C16,Stomach,222626,Notavailable,55.5,51.3,1.61,16
C25,Pancreas,173228,Notavailable,43.2,38.5,1.33,25
C54,Corpusuteri,167184,Notavailable,41.7,42.3,1,54
C22,Liver,162616,Notavailable,40.6,38,1.14,22
C53,Cervixuteri,132471,Notavailable,33.1,33.8,0.78,53
C82-86,Non-Hodgkinlymphoma,120221,Notavailable,30,28.1,0.85,82-86
C96,Non-Hodgkinlymphoma,120221,Notavailable,30,28.1,0.85,96
C15,Oesophagus,110855,Notavailable,27.7,26.8,0.73,15
C56,Ovary,110630,Notavailable,27.6,27.1,0.71,56
C67,Bladder,91672,Notavailable,22.9,20.5,0.7,67
C64-65,Kidney,82856,Notavailable,20.7,19.6,0.57,64-65
C91-95,Leukaemia,82430,Notavailable,20.6,19,0.6,91-95
C73,Thyroid,81303,Notavailable,20.3,21.1,0.46,73
C43,Melanomaofskin,68027,Notavailable,17,15.8,0.49,43
C00-06,"Lip,oralcavity",53028,Notavailable,13.2,12.6,0.37,00-06
C70-72,"Brain,centralnervoussystem",50713,Notavailable,12.7,12.2,0.34,70-72
C88+C90,Multiplemyeloma,48289,Notavailable,12,11.3,0.34,88-90
C23,Gallbladder,45187,Notavailable,11.3,10.3,0.33,23
C51,Vulva,26717,Notavailable,6.7,6,0.2,51
C32,Larynx,12206,Notavailable,3,3,0.08,32
C07-08,Salivaryglands,9820,Notavailable,2.5,2.3,0.07,07-08
C11,Nasopharynx,8889,Notavailable,2.2,2.3,0.05,11
C52,Vagina,8758,Notavailable,2.2,2.1,0.06,52
C09-10,Oropharynx,8430,Notavailable,2.1,2.1,0.05,09-10
C81,Hodgkinlymphoma,7581,Notavailable,1.9,1.8,0.05,81
C45,Mesothelioma,5728,Notavailable,1.4,1.3,0.04,45
C12-13,Hypopharynx,5329,Notavailable,1.3,1.3,0.03,12-13
C46,Kaposisarcoma,1622,Notavailable,0.4,0.36,0.01,46
