ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,12442,Notavailable,3.8,3.8,0.02,91-95
C64-65,Kidney,4285,Notavailable,1.3,1.3,0.01,64-65
C70-72,"Brain,centralnervoussystem",4008,Notavailable,1.2,1.2,0.01,70-72
C82-86,Non-Hodgkinlymphoma,2203,Notavailable,0.67,0.67,0,82-86
C96,Non-Hodgkinlymphoma,2203,Notavailable,0.67,0.67,0,96
C22,Liver,1171,Notavailable,0.36,0.36,0,22
C56,Ovary,276,Notavailable,0.08,0.08,0,56
C81,Hodgkinlymphoma,215,Notavailable,0.07,0.07,0,81
C00-06,"Lip,oralcavity",160,Notavailable,0.05,0.05,0,00-06
C52,Vagina,132,Notavailable,0.04,0.04,0,52
C46,Kaposisarcoma,98,Notavailable,0.03,0.03,0,46
C43,Melanomaofskin,97,Notavailable,0.03,0.03,0,43
C67,Bladder,85,Notavailable,0.03,0.03,0,67
C73,Thyroid,70,Notavailable,0.02,0.02,0,73
C33-34,Lung,67,Notavailable,0.02,0.02,0,33-34
C07-08,Salivaryglands,61,Notavailable,0.02,0.02,0,07-08
C11,Nasopharynx,58,Notavailable,0.02,0.02,0,11
C09-10,Oropharynx,44,Notavailable,0.01,0.01,0,09-10
C50,Breast,43,Notavailable,0.01,0.01,0,50
C16,Stomach,40,Notavailable,0.01,0.01,0,16
C18-21,Colorectum,39,Notavailable,0.01,0.01,0,18-21
C51,Vulva,38,Notavailable,0.01,0.01,0,51
C25,Pancreas,28,Notavailable,0.01,0.01,0,25
C32,Larynx,28,Notavailable,0.01,0.01,0,32
C53,Cervixuteri,12,Notavailable,0,0,0,53
C88+C90,Multiplemyeloma,11,Notavailable,0,0,0,88-90
C23,Gallbladder,7,Notavailable,0,0,0,23
C12-13,Hypopharynx,6,Notavailable,0,0,0,12-13
C15,Oesophagus,5,Notavailable,0,0,0,15
C54,Corpusuteri,3,Notavailable,0,0,0,54
