ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,2261419,[2244260.0-2278710.0],58.5,47.8,7.97,50
C18-21,Colorectum,865630,Notavailable,22.4,16.2,-,18-21
C33-34,Lung,770828,[753926.0-788108.0],19.9,14.6,4.01,33-34
C53,Cervixuteri,604127,[582031.0-627062.0],15.6,13.3,1.82,53
C73,Thyroid,448915,[442655.0-455264.0],11.6,10.1,1.25,73
C54,Corpusuteri,417367,[410437.0-424414.0],10.8,8.7,1.61,54
C16,Stomach,369580,[356415.0-383231.0],9.6,7,1.96,16
C56,Ovary,313959,[300850.0-327639.0],8.1,6.6,1.18,56
C22,Liver,273357,[261673.0-285563.0],7.1,5.2,1.41,22
C82-86,Non-Hodgkinlymphoma,240201,[234763.0-245765.0],6.2,4.8,1.13,82-86
C96,Non-Hodgkinlymphoma,240201,[234763.0-245765.0],6.2,4.8,1.13,96
C25,Pancreas,232908,[228089.0-237829.0],6,4.1,1.48,25
C91-95,Leukaemia,205016,[195454.0-215046.0],5.3,4.5,0.86,91-95
C15,Oesophagus,185750,[176016.0-196022.0],4.8,3.6,0.92,15
C64-65,Kidney,160039,[152157.0-168330.0],4.1,3.2,0.76,64-65
C43,Melanomaofskin,150791,[143520.0-158431.0],3.9,3,0.67,43
C70-72,"Brain,centralnervoussystem",139756,[131560.0-148462.0],3.6,3,0.53,70-72
C67,Bladder,132414,[124890.0-140391.0],3.4,2.4,0.8,67
C00-06,"Lip,oralcavity",113502,[105599.0-121997.0],2.9,2.3,0.51,00-06
C88+C90,Multiplemyeloma,77791,[72259.0-83746.5],2,1.5,0.41,88-90
C23,Gallbladder,74887,[68760.0-81560.0],1.9,1.4,0.41,23
C51,Vulva,45240,[40655.5-50341.5],1.2,0.85,0.25,51
C11,Nasopharynx,36983,[32588.3-41970.3],0.96,0.82,0.12,11
C81,Hodgkinlymphoma,34106,[31227.0-37250.4],0.88,0.8,0.1,81
C32,Larynx,24350,[20845.2-28444.1],0.63,0.49,0.11,32
C07-08,Salivaryglands,23889,[20306.1-28104.1],0.62,0.5,0.1,07-08
C09-10,Oropharynx,19367,[16278.9-23040.9],0.5,0.4,0.08,09-10
C52,Vagina,17908,[14678.3-21848.4],0.46,0.36,0.08,52
C12-13,Hypopharynx,14000,[10847.2-18069.2],0.36,0.29,0.05,12-13
C46,Kaposisarcoma,10857,[6021.6-19575.1],0.28,0.25,0.03,46
C45,Mesothelioma,9310,[7157.4-12110.0],0.24,0.17,0.05,45
