ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,1368826,Notavailable,188.1,182,5.05,33-34
C18-21,Colorectum,1155516,Notavailable,158.8,150.8,-,18-21
C61,Prostate,999296,Notavailable,305.8,299.2,8.2,61
C50,Breast,755288,Notavailable,188.4,186.6,4.69,50
C16,Stomach,641445,Notavailable,88.2,84.5,2.48,16
C22,Liver,441047,Notavailable,60.6,58.9,1.64,22
C67,Bladder,394906,Notavailable,54.3,50.7,1.65,67
C25,Pancreas,338590,Notavailable,46.5,43.4,1.43,25
C15,Oesophagus,330243,Notavailable,45.4,44.7,1.17,15
C82-86,Non-Hodgkinlymphoma,258135,Notavailable,35.5,33.8,1.03,82-86
C96,Non-Hodgkinlymphoma,258135,Notavailable,35.5,33.8,1.03,96
C64-65,Kidney,209527,Notavailable,28.8,27.9,0.79,64-65
C91-95,Leukaemia,189582,Notavailable,26.1,24.6,0.78,91-95
C54,Corpusuteri,167184,Notavailable,41.7,42.3,1,54
C43,Melanomaofskin,164782,Notavailable,22.6,21.4,0.67,43
C00-06,"Lip,oralcavity",142943,Notavailable,19.6,19.3,0.51,00-06
C53,Cervixuteri,132471,Notavailable,33.1,33.8,0.78,53
C73,Thyroid,112107,Notavailable,15.4,15.7,0.36,73
C56,Ovary,110630,Notavailable,27.6,27.1,0.71,56
C88+C90,Multiplemyeloma,107092,Notavailable,14.7,14,0.43,88-90
C70-72,"Brain,centralnervoussystem",104630,Notavailable,14.4,14,0.39,70-72
C32,Larynx,86111,Notavailable,11.8,11.9,0.29,32
C23,Gallbladder,70656,Notavailable,9.7,9.1,0.3,23
C09-10,Oropharynx,36907,Notavailable,5.1,5.2,0.12,09-10
C12-13,Hypopharynx,35547,Notavailable,4.9,4.9,0.12,12-13
C11,Nasopharynx,29934,Notavailable,4.1,4.2,0.09,11
C51,Vulva,26717,Notavailable,6.7,6,0.2,51
C07-08,Salivaryglands,22775,Notavailable,3.1,3,0.09,07-08
C45,Mesothelioma,21360,Notavailable,2.9,2.7,0.09,45
C60,Penis,17476,Notavailable,5.3,5.2,0.16,60
C81,Hodgkinlymphoma,17226,Notavailable,2.4,2.3,0.06,81
C52,Vagina,8758,Notavailable,2.2,2.1,0.06,52
C46,Kaposisarcoma,5529,Notavailable,0.76,0.72,0.02,46
C62,Testis,4526,Notavailable,1.4,1.4,0.04,62
