ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,2261419,[2244260.0-2278710.0],58.5,47.8,7.97,50
C33-34,Lung,2206771,[2176530.0-2237430.0],28.3,22.4,6.08,33-34
C18-21,Colorectum,1931590,Notavailable,24.8,19.5,-,18-21
C61,Prostate,1414259,[1395310.0-1433460.0],36,30.7,9.27,61
C16,Stomach,1089103,[1066580.0-1112100.0],14,11.1,3.03,16
C22,Liver,905677,[884695.0-927157.0],11.6,9.5,2.2,22
C53,Cervixuteri,604127,[582031.0-627062.0],15.6,13.3,1.82,53
C15,Oesophagus,604100,[587111.0-621581.0],7.8,6.3,1.52,15
C73,Thyroid,586202,[579106.0-593385.0],7.5,6.6,0.87,73
C67,Bladder,573278,[557247.0-589770.0],7.4,5.6,1.88,67
C82-86,Non-Hodgkinlymphoma,544352,[536030.0-552803.0],7,5.8,1.35,82-86
C96,Non-Hodgkinlymphoma,544352,[536030.0-552803.0],7,5.8,1.35,96
C25,Pancreas,495773,[488953.0-502688.0],6.4,4.9,1.63,25
C91-95,Leukaemia,474519,[459843.0-489663.0],6.1,5.4,1.07,91-95
C64-65,Kidney,431288,[418145.0-444844.0],5.5,4.6,1.06,64-65
C54,Corpusuteri,417367,[410437.0-424414.0],10.8,8.7,1.61,54
C00-06,"Lip,oralcavity",377713,[362367.0-393709.0],4.8,4.1,0.79,00-06
C43,Melanomaofskin,324635,[314175.0-335443.0],4.2,3.4,0.86,43
C56,Ovary,313959,[300850.0-327639.0],8.1,6.6,1.18,56
C70-72,"Brain,centralnervoussystem",308102,[295692.0-321033.0],4,3.5,0.61,70-72
C32,Larynx,184615,[174268.0-195576.0],2.4,2,0.42,32
C88+C90,Multiplemyeloma,176404,[167933.0-185303.0],2.3,1.8,0.52,88-90
C11,Nasopharynx,133354,[124737.0-142566.0],1.7,1.5,0.21,11
C23,Gallbladder,115949,[108291.0-124149.0],1.5,1.2,0.35,23
C09-10,Oropharynx,98412,[91318.8-106056.0],1.3,1.1,0.2,09-10
C12-13,Hypopharynx,84254,[76654.6-92606.8],1.1,0.91,0.18,12-13
C81,Hodgkinlymphoma,83087,[78805.6-87601.0],1.1,0.98,0.13,81
C62,Testis,74458,[68176.1-81318.7],1.9,1.8,0.17,62
C07-08,Salivaryglands,53583,[48243.7-59513.3],0.69,0.57,0.12,07-08
C51,Vulva,45240,[40655.5-50341.5],1.2,0.85,0.25,51
C60,Penis,36068,[30962.6-42015.2],0.92,0.8,0.21,60
C46,Kaposisarcoma,34270,[26009.7-45153.7],0.44,0.39,0.05,46
C45,Mesothelioma,30870,[26960.2-35346.8],0.4,0.3,0.1,45
C52,Vagina,17908,[14678.3-21848.4],0.46,0.36,0.08,52
