ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,1178615,Notavailable,162,155.3,4.49,33-34
C18-21,Colorectum,655429,Notavailable,90.1,82,-,18-21
C16,Stomach,480942,Notavailable,66.1,62.7,1.92,16
C22,Liver,415116,Notavailable,57.1,55,1.59,22
C61,Prostate,333197,Notavailable,102,95.7,4.14,61
C25,Pancreas,327324,Notavailable,45,41.7,1.4,25
C50,Breast,321343,Notavailable,80.2,74.4,2.3,50
C15,Oesophagus,318581,Notavailable,43.8,42.5,1.18,15
C67,Bladder,171906,Notavailable,23.6,20.9,0.84,67
C82-86,Non-Hodgkinlymphoma,151485,Notavailable,20.8,19.2,0.67,82-86
C96,Non-Hodgkinlymphoma,151485,Notavailable,20.8,19.2,0.67,96
C91-95,Leukaemia,149662,Notavailable,20.6,19,0.66,91-95
C64-65,Kidney,115234,Notavailable,15.8,14.8,0.49,64-65
C53,Cervixuteri,113271,Notavailable,28.3,28.3,0.7,53
C70-72,"Brain,centralnervoussystem",100539,Notavailable,13.8,13.5,0.37,70-72
C56,Ovary,98376,Notavailable,24.5,23.7,0.66,56
C88+C90,Multiplemyeloma,80224,Notavailable,11,10.2,0.34,88-90
C00-06,"Lip,oralcavity",69342,Notavailable,9.5,9.3,0.26,00-06
C54,Corpusuteri,60489,Notavailable,15.1,14.1,0.43,54
C32,Larynx,54205,Notavailable,7.4,7.3,0.2,32
C23,Gallbladder,53014,Notavailable,7.3,6.8,0.23,23
C43,Melanomaofskin,35820,Notavailable,4.9,4.5,0.16,43
C73,Thyroid,28627,Notavailable,3.9,3.6,0.12,73
C11,Nasopharynx,26202,Notavailable,3.6,3.7,0.08,11
C09-10,Oropharynx,21258,Notavailable,2.9,2.9,0.07,09-10
C45,Mesothelioma,19484,Notavailable,2.7,2.5,0.09,45
C12-13,Hypopharynx,19066,Notavailable,2.6,2.6,0.07,12-13
C07-08,Salivaryglands,12339,Notavailable,1.7,1.6,0.05,07-08
C51,Vulva,12192,Notavailable,3,2.6,0.1,51
C81,Hodgkinlymphoma,8849,Notavailable,1.2,1.1,0.04,81
C60,Penis,6484,Notavailable,2,1.9,0.07,60
C52,Vagina,4337,Notavailable,1.1,1,0.03,52
C62,Testis,2040,Notavailable,0.62,0.61,0.02,62
C46,Kaposisarcoma,2020,Notavailable,0.28,0.27,0.01,46
