ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C22,Liver,44495,Notavailable,3.9,3.9,0.08,22
C91-95,Leukaemia,22179,Notavailable,1.9,1.9,0.04,91-95
C33-34,Lung,21501,Notavailable,1.9,1.9,0.04,33-34
C00-06,"Lip,oralcavity",20623,Notavailable,1.8,1.8,0.04,00-06
C70-72,"Brain,centralnervoussystem",18994,Notavailable,1.7,1.7,0.03,70-72
C18-21,Colorectum,17907,Notavailable,1.6,1.6,0.03,18-21
C16,Stomach,14985,Notavailable,1.3,1.3,0.03,16
C82-86,Non-Hodgkinlymphoma,13053,Notavailable,1.1,1.1,0.02,82-86
C96,Non-Hodgkinlymphoma,13053,Notavailable,1.1,1.1,0.02,96
C15,Oesophagus,11582,Notavailable,1,1,0.02,15
C11,Nasopharynx,7386,Notavailable,0.65,0.65,0.01,11
C25,Pancreas,5921,Notavailable,0.52,0.52,0.01,25
C46,Kaposisarcoma,4840,Notavailable,0.42,0.42,0.01,46
C62,Testis,3603,Notavailable,0.32,0.31,0.01,62
C64-65,Kidney,3359,Notavailable,0.29,0.3,0.01,64-65
C81,Hodgkinlymphoma,2610,Notavailable,0.23,0.23,0,81
C32,Larynx,2339,Notavailable,0.2,0.21,0,32
C43,Melanomaofskin,2100,Notavailable,0.18,0.18,0,43
C12-13,Hypopharynx,2056,Notavailable,0.18,0.18,0,12-13
C09-10,Oropharynx,2053,Notavailable,0.18,0.18,0,09-10
C88+C90,Multiplemyeloma,1835,Notavailable,0.16,0.16,0,88-90
C67,Bladder,1788,Notavailable,0.16,0.16,0,67
C23,Gallbladder,1367,Notavailable,0.12,0.12,0,23
C61,Prostate,1159,Notavailable,0.1,0.1,0,61
C07-08,Salivaryglands,800,Notavailable,0.07,0.07,0,07-08
C73,Thyroid,753,Notavailable,0.07,0.07,0,73
C60,Penis,722,Notavailable,0.06,0.06,0,60
C45,Mesothelioma,405,Notavailable,0.04,0.04,0,45
