ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,1188679,[1164900.0-1212940.0],30.2,25.9,7.74,33-34
C22,Liver,577522,[558294.0-597412.0],14.7,12.9,3,22
C18-21,Colorectum,515637,Notavailable,13.1,11,-,18-21
C16,Stomach,502788,[486488.0-519634.0],12.8,11,3.3,16
C61,Prostate,375304,[367846.0-382913.0],9.5,7.7,4.26,61
C15,Oesophagus,374313,[359917.0-389285.0],9.5,8.3,2.19,15
C25,Pancreas,246840,[242223.0-251545.0],6.3,5.3,1.76,25
C91-95,Leukaemia,177818,[173338.0-182414.0],4.5,4,1.08,91-95
C67,Bladder,158785,[150182.0-167880.0],4,3.3,1.6,67
C82-86,Non-Hodgkinlymphoma,147217,[143175.0-151373.0],3.7,3.3,0.99,82-86
C96,Non-Hodgkinlymphoma,147217,[143175.0-151373.0],3.7,3.3,0.99,96
C70-72,"Brain,centralnervoussystem",138277,[129473.0-147680.0],3.5,3.2,0.63,70-72
C00-06,"Lip,oralcavity",125022,[116573.0-134084.0],3.2,2.8,0.54,00-06
C64-65,Kidney,115600,[112308.0-118988.0],2.9,2.5,0.81,64-65
C32,Larynx,85351,[78895.2-92335.0],2.2,1.9,0.49,32
C88+C90,Multiplemyeloma,65197,[59890.8-70973.3],1.7,1.4,0.5,88-90
C11,Nasopharynx,58094,[52066.8-64818.9],1.5,1.3,0.22,11
C09-10,Oropharynx,39590,[35255.1-44457.9],1,0.89,0.19,09-10
C43,Melanomaofskin,32385,[28800.2-36416.0],0.82,0.7,0.25,43
C12-13,Hypopharynx,32303,[28352.2-36804.3],0.82,0.72,0.17,12-13
C23,Gallbladder,30265,[27076.2-33829.4],0.77,0.65,0.22,23
C45,Mesothelioma,18681,[15815.7-22065.4],0.48,0.39,0.17,45
C73,Thyroid,15906,[13598.5-18605.1],0.4,0.35,0.11,73
C81,Hodgkinlymphoma,14288,[11856.4-17218.4],0.36,0.33,0.06,81
C07-08,Salivaryglands,13353,[10702.4-16660.0],0.34,0.3,0.09,07-08
C60,Penis,13211,[10686.7-16331.5],0.34,0.29,0.09,60
C46,Kaposisarcoma,9929,[6159.5-16005.5],0.25,0.23,0.03,46
C62,Testis,9334,[7477.0-11652.2],0.24,0.22,0.03,62
