ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,414275,Notavailable,103.4,96.8,2.89,33-34
C50,Breast,321343,Notavailable,80.2,74.4,2.3,50
C18-21,Colorectum,305677,Notavailable,76.3,65.7,-,18-21
C16,Stomach,170485,Notavailable,42.5,38.7,1.27,16
C25,Pancreas,167273,Notavailable,41.7,36.9,1.3,25
C22,Liver,153693,Notavailable,38.3,35.6,1.1,22
C53,Cervixuteri,113271,Notavailable,28.3,28.3,0.7,53
C15,Oesophagus,108509,Notavailable,27.1,25.6,0.75,15
C56,Ovary,98376,Notavailable,24.5,23.7,0.66,56
C82-86,Non-Hodgkinlymphoma,69938,Notavailable,17.5,15.4,0.55,82-86
C96,Non-Hodgkinlymphoma,69938,Notavailable,17.5,15.4,0.55,96
C91-95,Leukaemia,64355,Notavailable,16.1,14.3,0.5,91-95
C54,Corpusuteri,60489,Notavailable,15.1,14.1,0.43,54
C70-72,"Brain,centralnervoussystem",48425,Notavailable,12.1,11.7,0.32,70-72
C67,Bladder,44382,Notavailable,11.1,9.2,0.38,67
C64-65,Kidney,44103,Notavailable,11,9.8,0.34,64-65
C88+C90,Multiplemyeloma,36775,Notavailable,9.2,8.3,0.28,88-90
C23,Gallbladder,33928,Notavailable,8.5,7.7,0.25,23
C00-06,"Lip,oralcavity",26251,Notavailable,6.5,6.1,0.19,00-06
C73,Thyroid,18698,Notavailable,4.7,4.2,0.14,73
C43,Melanomaofskin,15552,Notavailable,3.9,3.4,0.12,43
C51,Vulva,12192,Notavailable,3,2.6,0.1,51
C32,Larynx,8370,Notavailable,2.1,2,0.06,32
C11,Nasopharynx,7879,Notavailable,2,2,0.05,11
C07-08,Salivaryglands,5229,Notavailable,1.3,1.2,0.04,07-08
C45,Mesothelioma,4982,Notavailable,1.2,1.1,0.04,45
C09-10,Oropharynx,4572,Notavailable,1.1,1.1,0.03,09-10
C52,Vagina,4337,Notavailable,1.1,1,0.03,52
C81,Hodgkinlymphoma,3987,Notavailable,0.99,0.91,0.03,81
C12-13,Hypopharynx,2821,Notavailable,0.7,0.69,0.02,12-13
C46,Kaposisarcoma,580,Notavailable,0.14,0.13,0,46
