ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,6200,Notavailable,1.1,1.1,0.01,91-95
C70-72,"Brain,centralnervoussystem",3089,Notavailable,0.53,0.53,0.01,70-72
C82-86,Non-Hodgkinlymphoma,2299,Notavailable,0.39,0.39,0,82-86
C96,Non-Hodgkinlymphoma,2299,Notavailable,0.39,0.39,0,96
C56,Ovary,1542,Notavailable,0.26,0.26,0,56
C50,Breast,1424,Notavailable,0.24,0.23,0,50
C53,Cervixuteri,1199,Notavailable,0.21,0.2,0,53
C18-21,Colorectum,948,Notavailable,0.16,0.16,0,18-21
C22,Liver,888,Notavailable,0.15,0.15,0,22
C16,Stomach,880,Notavailable,0.15,0.15,0,16
C46,Kaposisarcoma,784,Notavailable,0.13,0.13,0,46
C81,Hodgkinlymphoma,663,Notavailable,0.11,0.11,0,81
C33-34,Lung,555,Notavailable,0.09,0.09,0,33-34
C11,Nasopharynx,534,Notavailable,0.09,0.09,0,11
C64-65,Kidney,343,Notavailable,0.06,0.06,0,64-65
C00-06,"Lip,oralcavity",334,Notavailable,0.06,0.06,0,00-06
C15,Oesophagus,248,Notavailable,0.04,0.04,0,15
C73,Thyroid,198,Notavailable,0.03,0.03,0,73
C25,Pancreas,167,Notavailable,0.03,0.03,0,25
C07-08,Salivaryglands,117,Notavailable,0.02,0.02,0,07-08
C43,Melanomaofskin,110,Notavailable,0.02,0.02,0,43
C32,Larynx,102,Notavailable,0.02,0.02,0,32
C23,Gallbladder,79,Notavailable,0.01,0.01,0,23
C54,Corpusuteri,71,Notavailable,0.01,0.01,0,54
C67,Bladder,61,Notavailable,0.01,0.01,0,67
C12-13,Hypopharynx,58,Notavailable,0.01,0.01,0,12-13
C88+C90,Multiplemyeloma,46,Notavailable,0.01,0.01,0,88-90
C51,Vulva,45,Notavailable,0.01,0.01,0,51
C52,Vagina,18,Notavailable,0,0,0,52
C09-10,Oropharynx,9,Notavailable,0,0,0,09-10
C45,Mesothelioma,6,Notavailable,0,0,0,45
