ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,684996,[675493.0-694633.0],17.7,13.6,3.14,50
C33-34,Lung,607465,[591625.0-623729.0],15.7,11.2,3.37,33-34
C18-21,Colorectum,419536,Notavailable,10.9,7.2,-,18-21
C53,Cervixuteri,341831,[324231.0-360386.0],8.8,7.3,1.23,53
C16,Stomach,266005,[254294.0-278256.0],6.9,4.9,1.5,16
C22,Liver,252658,[240164.0-265802.0],6.5,4.8,1.35,22
C25,Pancreas,219163,[214606.0-223816.0],5.7,3.8,1.43,25
C56,Ovary,207252,[196974.0-218066.0],5.4,4.2,0.92,56
C15,Oesophagus,169763,[159297.0-180916.0],4.4,3.2,0.9,15
C91-95,Leukaemia,133776,[125849.0-142202.0],3.5,2.7,0.65,91-95
C70-72,"Brain,centralnervoussystem",113052,[109663.0-116546.0],2.9,2.4,0.47,70-72
C82-86,Non-Hodgkinlymphoma,112576,[109114.0-116147.0],2.9,2.1,0.64,82-86
C96,Non-Hodgkinlymphoma,112576,[109114.0-116147.0],2.9,2.1,0.64,96
C54,Corpusuteri,97370,[90992.0-104195.0],2.5,1.8,0.52,54
C64-65,Kidney,63768,[61179.1-66466.4],1.6,1.2,0.39,64-65
C23,Gallbladder,54430,[49790.4-59502.0],1.4,1,0.3,23
C67,Bladder,53751,[51222.2-56404.6],1.4,0.86,0.41,67
C00-06,"Lip,oralcavity",52735,[47690.5-58313.0],1.4,1,0.25,00-06
C88+C90,Multiplemyeloma,51880,[47227.0-56991.4],1.3,0.93,0.32,88-90
C73,Thyroid,27740,[24976.1-30809.7],0.72,0.5,0.17,73
C43,Melanomaofskin,24658,[21492.4-28289.9],0.64,0.45,0.15,43
C11,Nasopharynx,21914,[18292.5-26252.5],0.57,0.47,0.08,11
C51,Vulva,17427,[14496.7-20949.6],0.45,0.3,0.11,51
C32,Larynx,14489,[11901.8-17638.6],0.37,0.28,0.07,32
C07-08,Salivaryglands,9425,[7078.8-12548.8],0.24,0.18,0.05,07-08
C81,Hodgkinlymphoma,9088,[7145.5-11558.6],0.24,0.19,0.04,81
C09-10,Oropharynx,8553,[6683.7-10945.2],0.22,0.17,0.04,09-10
C52,Vagina,7995,[5982.6-10684.2],0.21,0.16,0.04,52
C45,Mesothelioma,7597,[5783.6-9979.0],0.2,0.14,0.04,45
C12-13,Hypopharynx,6296,[4653.8-8517.7],0.16,0.13,0.03,12-13
C46,Kaposisarcoma,5157,[2608.9-10193.9],0.13,0.12,0.01,46
