ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,581732,Notavailable,35.6,35.4,0.78,33-34
C22,Liver,353877,Notavailable,21.6,21.5,0.46,22
C50,Breast,284872,Notavailable,34.7,34.3,0.72,50
C16,Stomach,256631,Notavailable,15.7,15.6,0.34,16
C18-21,Colorectum,243246,Notavailable,14.9,14.8,0.32,18-21
C15,Oesophagus,207127,Notavailable,12.7,12.6,0.27,15
C53,Cervixuteri,171442,Notavailable,20.9,20.7,0.43,53
C25,Pancreas,129160,Notavailable,7.9,7.9,0.17,25
C70-72,"Brain,centralnervoussystem",98531,Notavailable,6,6,0.13,70-72
C56,Ovary,90968,Notavailable,11.1,10.9,0.23,56
C91-95,Leukaemia,80899,Notavailable,4.9,4.9,0.1,91-95
C00-06,"Lip,oralcavity",80877,Notavailable,4.9,4.9,0.1,00-06
C82-86,Non-Hodgkinlymphoma,72527,Notavailable,4.4,4.4,0.09,82-86
C96,Non-Hodgkinlymphoma,72527,Notavailable,4.4,4.4,0.09,96
C64-65,Kidney,52630,Notavailable,3.2,3.2,0.07,64-65
C32,Larynx,42181,Notavailable,2.6,2.6,0.06,32
C11,Nasopharynx,41541,Notavailable,2.5,2.5,0.05,11
C61,Prostate,40821,Notavailable,5,5.1,0.12,61
C67,Bladder,37380,Notavailable,2.3,2.3,0.05,67
C88+C90,Multiplemyeloma,33573,Notavailable,2.1,2,0.05,88-90
C54,Corpusuteri,33572,Notavailable,4.1,4,0.09,54
C23,Gallbladder,26947,Notavailable,1.6,1.6,0.04,23
C09-10,Oropharynx,24265,Notavailable,1.5,1.5,0.03,09-10
C43,Melanomaofskin,16723,Notavailable,1,1,0.02,43
C12-13,Hypopharynx,16180,Notavailable,0.99,0.98,0.02,12-13
C73,Thyroid,12115,Notavailable,0.74,0.74,0.02,73
C07-08,Salivaryglands,8482,Notavailable,0.52,0.52,0.01,07-08
C81,Hodgkinlymphoma,6521,Notavailable,0.4,0.4,0.01,81
C45,Mesothelioma,5991,Notavailable,0.37,0.37,0.01,45
C60,Penis,5966,Notavailable,0.73,0.73,0.02,60
C51,Vulva,3984,Notavailable,0.48,0.48,0.01,51
C46,Kaposisarcoma,3259,Notavailable,0.2,0.2,0,46
C52,Vagina,2832,Notavailable,0.34,0.34,0.01,52
C62,Testis,2166,Notavailable,0.27,0.27,0.01,62
