CAUSA_DEF,ANIO_REGIS,ENT_CVE,MUN_CVE,SEXO,RANGO_EDAD,CONTEO,POBLACION,TASA,TASA_TYPE,ENT_NAME,MUN_NAME,Descripcion
C50,2000,7,Total,Total,Total,54,3978878.0,1.3571665177972283,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2001,7,Total,Total,Total,54,4056667.0,1.3311420434558716,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2002,7,Total,Total,Total,58,4137733.0,1.4017337513077814,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2003,7,Total,Total,Total,77,4219579.0,1.824826599999668,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2004,7,Total,Total,Total,76,4301148.0,1.766970120535262,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2005,7,Total,Total,Total,75,4383744.0,1.7108663279607568,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2006,7,Total,Total,Total,88,4472341.0,1.967649604535969,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2007,7,Total,Total,Total,79,4567654.0,1.729553070350775,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2008,7,Total,Total,Total,108,4666821.0,2.314209180082116,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2009,7,Total,Total,Total,107,4768075.0,2.2440922175091624,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2010,7,Total,Total,Total,126,4857906.0,2.593710129426136,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2011,7,Total,Total,Total,137,4944937.0,2.770510524198792,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2012,7,Total,Total,Total,146,5038786.0,2.8975233320089404,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2013,7,Total,Total,Total,141,5130494.0,2.748273363149825,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2014,7,Total,Total,Total,158,5220622.0,3.026459299294222,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2015,7,Total,Total,Total,140,5307819.0,2.6376182006206315,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2016,7,Total,Total,Total,176,5393944.0,3.2629185620021266,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2017,7,Total,Total,Total,156,5479352.0,2.847051987169286,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2018,7,Total,Total,Total,155,5563869.0,2.7858312264361365,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2019,7,Total,Total,Total,187,5647532.0,3.3111808839684307,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2020,7,Total,Total,Total,195,5730367.0,3.40292340787248,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2021,7,Total,Total,Total,195,5812375.0,3.354910858298028,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2000,7,Total,Mujeres,Total,54,1998407.0,2.7021522642784976,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2001,7,Total,Hombres,Total,2,2015861.0,0.0992131897983045,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2001,7,Total,Mujeres,Total,52,2040806.0,2.5480128929452386,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2002,7,Total,Mujeres,Total,58,2084701.0,2.7821735587021834,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2003,7,Total,Mujeres,Total,77,2129206.0,3.616371548830879,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2004,7,Total,Hombres,Total,1,2127553.0,0.0470023543479292,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2004,7,Total,Mujeres,Total,75,2173595.0,3.450504808853536,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2005,7,Total,Mujeres,Total,75,2218643.0,3.3804447132774404,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2006,7,Total,Hombres,Total,1,2205777.0,0.0453354985567444,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2006,7,Total,Mujeres,Total,87,2266564.0,3.838409151473332,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2007,7,Total,Mujeres,Total,79,2317376.0,3.4090281421745976,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2008,7,Total,Hombres,Total,2,2297063.0,0.0870677034108337,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2008,7,Total,Mujeres,Total,106,2369758.0,4.473030579493771,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2009,7,Total,Mujeres,Total,107,2422835.0,4.416313946265428,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2010,7,Total,Mujeres,Total,126,2469337.0,5.102584215925165,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2011,7,Total,Hombres,Total,1,2430598.0,0.0411421386835667,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2011,7,Total,Mujeres,Total,136,2514339.0,5.408976275673249,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2012,7,Total,Hombres,Total,3,2475130.0,0.1212057548492402,100k,Chiapas,Total,C50 - Tumor maligno de la mama
