CAUSA_DEF,ANIO_REGIS,ENT_CVE,MUN_CVE,SEXO,RANGO_EDAD,CONTEO,POBLACION,TASA,TASA_TYPE,ENT_NAME,MUN_NAME,Descripcion
C50,2000,7,Total,Total,Total,54,3978878.0,1.3571665177972283,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2001,7,Total,Total,Total,54,4056667.0,1.3311420434558716,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2002,7,Total,Total,Total,58,4137733.0,1.4017337513077814,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2003,7,Total,Total,Total,77,4219579.0,1.824826599999668,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2004,7,Total,Total,Total,76,4301148.0,1.766970120535262,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2005,7,Total,Total,Total,75,4383744.0,1.7108663279607568,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2006,7,Total,Total,Total,88,4472341.0,1.967649604535969,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2007,7,Total,Total,Total,79,4567654.0,1.729553070350775,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2008,7,Total,Total,Total,108,4666821.0,2.314209180082116,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2009,7,Total,Total,Total,107,4768075.0,2.2440922175091624,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2010,7,Total,Total,Total,126,4857906.0,2.593710129426136,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2011,7,Total,Total,Total,137,4944937.0,2.770510524198792,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2012,7,Total,Total,Total,146,5038786.0,2.8975233320089404,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2013,7,Total,Total,Total,141,5130494.0,2.748273363149825,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2014,7,Total,Total,Total,158,5220622.0,3.026459299294222,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2015,7,Total,Total,Total,140,5307819.0,2.6376182006206315,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2016,7,Total,Total,Total,176,5393944.0,3.2629185620021266,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2017,7,Total,Total,Total,156,5479352.0,2.847051987169286,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2018,7,Total,Total,Total,155,5563869.0,2.7858312264361365,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2019,7,Total,Total,Total,187,5647532.0,3.3111808839684307,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2020,7,Total,Total,Total,195,5730367.0,3.40292340787248,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2021,7,Total,Total,Total,195,5812375.0,3.354910858298028,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2000,7,Total,Total,>65,12,146514.0,0.672,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2001,7,Total,Total,>65,14,153610.0,0.747,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2002,7,Total,Total,>65,18,160923.0,0.917,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2003,7,Total,Total,>65,16,168411.0,0.779,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2004,7,Total,Total,>65,18,176244.0,0.837,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2005,7,Total,Total,>65,24,184426.0,1.067,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2006,7,Total,Total,>65,26,193506.0,1.102,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2007,7,Total,Total,>65,22,203518.0,0.886,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2008,7,Total,Total,>65,38,213825.0,1.457,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2009,7,Total,Total,>65,33,224450.0,1.206,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2010,7,Total,Total,>65,39,233551.0,1.369,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2011,7,Total,Total,>65,43,241144.0,1.462,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2012,7,Total,Total,>65,44,249081.0,1.449,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2013,7,Total,Total,>65,54,257352.0,1.721,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2014,7,Total,Total,>65,48,265898.0,1.48,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2015,7,Total,Total,>65,41,274473.0,1.225,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2016,7,Total,Total,>65,40,283484.0,1.157,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2017,7,Total,Total,>65,52,293346.0,1.454,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2018,7,Total,Total,>65,41,303912.0,1.106,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2019,7,Total,Total,>65,48,315205.0,1.249,100k,Chiapas,Total,C50 - Tumor maligno de la mama
C50,2020,7,Total,Total,>65,51,327258.0,1.278,100k,Chiapas,Total,C50 - Tumor maligno de la mama
