Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
31020,08/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,34.08371,20.75827,-99,-99,26.68539,,,,,,0
31020,09/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,35.35605,21.2666,-99,-99,27.67297,,,,,,0
31020,10/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,35.35202,22.79736,-99,-99,29.00189,,,,,,0
31020,11/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,35.31201,22.87433,-99,-99,28.97696,,,,,,0
31020,12/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,34.98358,23.33157,-99,-99,28.9003,,,,,,0
31020,13/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,35.3602,23.1795,-99,-99,28.92462,,,,,,0
31020,14/03/19,21.08,-89.28,31020,-99,-99,Yucatan Norte,Llanura,36.15732,23.29553,-99,-99,29.19284,,,,,,0
31021,08/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,35.52094,20.97449,-99,-99,27.81122,,,,,,0
31021,09/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,36.51752,21.23987,-99,-99,28.48486,,,,,,0
31021,10/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,36.62714,23.10916,-99,-99,29.53107,,,,,,0
31021,11/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,36.35886,22.95837,-99,-99,29.42621,,,,,,0
31021,12/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,35.99408,23.69467,-99,-99,29.56494,,,,,,0
31021,13/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,36.66455,23.11578,-99,-99,29.41241,,,,,,0
31021,14/03/19,20.49,-89.71,31021,-99,-99,Yucatan Norte,Llanura,37.64218,23.76358,-99,-99,29.96381,,,,,,0
31022,08/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,34.58563,19.97522,-99,-99,26.62842,,,,,,0
31022,09/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,35.17477,20.68997,-99,-99,27.12018,,,,,,0
31022,10/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,35.07663,22.87308,-99,-99,28.08557,,,,,,0
31022,11/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,35.14978,22.60031,-99,-99,28.08548,,,,,,0
31022,12/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,35.12213,22.31198,-99,-99,28.08487,,,,,,0
31022,13/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,35.28757,22.59409,-99,-99,28.14929,,,,,,0
31022,14/03/19,20.12,-88.95,31022,-99,-99,Yucatan Norte,Llanura,36.08963,23.31039,-99,-99,28.68115,,,,,,0
31024,08/03/19,21.59,-88.15,31024,-99,-99,Yucatan Norte,Playa o Barra,30.51062,21.04758,-99,-99,25.01569,,,,,,0
31024,09/03/19,21.59,-88.15,31024,-99,-99,Yucatan Norte,Playa o Barra,32.43063,21.00082,-99,-99,25.93423,,,,,,0
